Nombres,Apellidos,id,email,user_id,age,occupation,FinancialGoals,RiskTolerance,FinancialPreference,FinancialOptions,FinalKnowledge,target_period,income_source,income_average,expenses_average,saving_plan,contribution
Eslkfee,Txnmskl,424920,eslkfee.txnmskl@gmail.com,424920,21,Actor,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDEARS,AVANZADO,5 meses,ambos,567143,545402,NO,49
Bpufxdi,Ezffbgvf,141829,bpufxdi.ezffbgvf@outlook.com,141829,24,,VACACIONES,MODERADO,INVERSION,BONOS,BASICO,10 años,ambos,773368,532320,NO,52
Qmdtrbiz,Gqzgh,549537,qmdtrbiz.gqzgh@hotmail.com,549537,51,Personal doméstico,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,1 mes,independiente,789858,626705,NO,63
Eptyquky,Zmiee,972038,eptyquky.zmiee@outlook.com,972038,64,Programador informático,EDUCACION,CONSERVADOR,AHORRO,,AVANZADO,5 meses,independiente,414482,389203,SI,72
Ylcoujip,Sxlbazds,587080,ylcoujip.sxlbazds@hotmail.com,587080,59,Agente inmobiliario,IMPREVISTOS,CONSERVADOR,INVERSION,CDEARS,NINGUNO,10 años,dependiente,676516,592159,NO,74
Woprisb,Ooajdk,861767,woprisb.ooajdk@yahoo.com,861767,46,Químico,OTROS,CONSERVADOR,INVERSION,CDF,NINGUNO,5 meses,dependiente,693818,579989,NO,59
Fnaji,Ydhcboytc,716299,fnaji.ydhcboytc@hotmail.com,716299,25,Farmacéutico,OTROS,MODERADO,AHORRO,,NINGUNO,1 año,independiente,344529,262103,NO,98
Qzukkze,Ithikpuagu,495953,qzukkze.ithikpuagu@hotmail.com,495953,54,Fotógrafo,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,BONOS,BASICO,1 año,independiente,535221,413842,NO,34
Enjuwmb,Jivmfz,706519,enjuwmb.jivmfz@outlook.com,706519,59,Psicólogos,VACACIONES,ARRIESGADO,INVERSION,BONOS,AVANZADO,5 meses,dependiente,558302,425509,NO,94
Eozb,Okpvycr,457596,eozb.okpvycr@yahoo.com,457596,70,Agricultor,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,NINGUNO,10 años,ambos,347267,193614,NO,6
Ytqkt,Xvrwphe,594400,ytqkt.xvrwphe@gmail.com,594400,45,Abogado,VIVIENDA,CONSERVADOR,INVERSION,CDF,INTERMEDIO,5 meses,ambos,838855,466787,SI,85
Rckidll,Ldhandy,555742,rckidll.ldhandy@outlook.com,555742,41,Locutores de radio y televisión y afines,VACACIONES,ARRIESGADO,INVERSION,CDEARS,NINGUNO,10 años,ambos,852569,624819,NO,66
Vmjdjf,Pbttzdzk,478756,vmjdjf.pbttzdzk@gmail.com,478756,49,,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,BASICO,1 mes,jubilación,848739,808591,SI,39
Tbtyftji,Tynwpjht,608306,tbtyftji.tynwpjht@gmail.com,608306,52,Chapistas y caldereros,JUBILACION,CONSERVADOR,AHORRO,,NINGUNO,5 meses,ambos,335215,306192,SI,2
Gktyeqew,Nwmkeu,912272,gktyeqew.nwmkeu@yahoo.com,912272,29,Arquitecto,EDUCACION,MODERADO,INVERSION,OTROS,BASICO,1 año,ambos,757533,741082,NO,15
Teyt,Ubgjnroxlf,170195,teyt.ubgjnroxlf@hotmail.com,170195,47,Conserje,EDUCACION,CONSERVADOR,INVERSION,OTROS,INTERMEDIO,1 año,ambos,722848,696528,SI,62
Epgmfh,Hturdaf,141873,epgmfh.hturdaf@gmail.com,141873,35,Piloto,EDUCACION,CONSERVADOR,AHORRO,,BASICO,1 mes,dependiente,439539,404849,NO,72
Bpug,Kruyhwxzkc,157923,bpug.kruyhwxzkc@outlook.com,157923,35,Abogado,VACACIONES,CONSERVADOR,AHORRO,,NINGUNO,1 año,dependiente,817200,514629,SI,41
Wkwc,Irwfe,241505,wkwc.irwfe@hotmail.com,241505,26,Veterinario,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,ACCIONES,INTERMEDIO,5 meses,independiente,337661,261388,NO,73
Cnmdo,Rkyijetodm,482782,cnmdo.rkyijetodm@outlook.com,482782,25,Fisioterapeuta,JUBILACION,ARRIESGADO,AHORRO,,NINGUNO,1 mes,ambos,736872,677144,NO,14
Ojfscjg,Lzwnhppfwx,663037,ojfscjg.lzwnhppfwx@outlook.com,663037,54,Programador informático,VACACIONES,ARRIESGADO,INVERSION,ACCIONES,AVANZADO,10 años,independiente,641788,407165,NO,5
Ghfjvo,Hfjjpfueno,580722,ghfjvo.hfjjpfueno@hotmail.com,580722,33,,IMPREVISTOS,MODERADO,AHORRO,,NINGUNO,5 meses,dependiente,396674,275735,NO,66
Zykppccl,Fiuxsqs,889988,zykppccl.fiuxsqs@gmail.com,889988,68,Personal doméstico,JUBILACION,CONSERVADOR,INVERSION,ACCIONES,INTERMEDIO,5 meses,jubilación,372502,334243,NO,24
Xucbcu,Eliryjnw,592126,xucbcu.eliryjnw@hotmail.com,592126,50,Economista,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,INTERMEDIO,1 mes,ambos,788316,535821,SI,74
Xljfbn,Rzylecyk,590645,xljfbn.rzylecyk@yahoo.com,590645,30,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,jubilación,314389,233404,NO,65
Tlmwymy,Kpirszp,875810,tlmwymy.kpirszp@gmail.com,875810,40,Modelos de moda,OTROS,MODERADO,AHORRO,,AVANZADO,5 meses,ambos,309465,297996,SI,93
Vhujyhlg,Ettmrbcwmi,951602,vhujyhlg.ettmrbcwmi@gmail.com,951602,49,Ingeniero civil,LIBERTAD_FINANCIERA,MODERADO,INVERSION,OTROS,INTERMEDIO,10 años,dependiente,394237,215823,NO,49
Fjln,Tmdxyuipzy,832552,fjln.tmdxyuipzy@yahoo.com,832552,64,,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,1 año,independiente,875339,841578,SI,37
Uwewfgjp,Hcxhxv,985176,uwewfgjp.hcxhxv@yahoo.com,985176,27,Técnico,VACACIONES,ARRIESGADO,INVERSION,ETFS,AVANZADO,1 mes,ambos,282667,234657,SI,6
Olcmasil,Jtoosiky,149287,olcmasil.jtoosiky@yahoo.com,149287,20,Coreógrafo,VACACIONES,CONSERVADOR,AHORRO,,BASICO,1 año,dependiente,287813,239407,SI,74
Uajpn,Tepqitmsk,213387,uajpn.tepqitmsk@yahoo.com,213387,24,Piloto,OTROS,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,10 años,dependiente,536766,298942,NO,65
Djvliln,Juvxy,945842,djvliln.juvxy@gmail.com,945842,46,Agente de seguros,VACACIONES,CONSERVADOR,AHORRO,,BASICO,1 mes,dependiente,620994,379477,SI,27
Ujygbyu,Hymzsfq,557378,ujygbyu.hymzsfq@gmail.com,557378,60,Físicos,JUBILACION,MODERADO,INVERSION,ETFS,NINGUNO,5 meses,ambos,490910,264046,NO,75
Zqigc,Uoaoxyvtor,125549,zqigc.uoaoxyvtor@hotmail.com,125549,38,Fotógrafo,OTROS,MODERADO,INVERSION,CDEARS,INTERMEDIO,5 meses,ambos,899213,656627,SI,76
Tcyph,Iplnfjsw,800681,tcyph.iplnfjsw@outlook.com,800681,23,Estudiante,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,BASICO,10 años,independiente,646469,605765,SI,55
Zzsmqtv,Aktcd,333303,zzsmqtv.aktcd@gmail.com,333303,26,Físicos,VIVIENDA,ARRIESGADO,AHORRO,,INTERMEDIO,1 mes,dependiente,433662,269627,NO,34
Rrlm,Ewgfprl,223506,rrlm.ewgfprl@gmail.com,223506,20,Recepcionista,EDUCACION,CONSERVADOR,AHORRO,,BASICO,1 año,dependiente,313700,193504,SI,80
Wialksch,Wtqpouje,408204,wialksch.wtqpouje@yahoo.com,408204,30,Ingeniero de telecomunicaciones,JUBILACION,ARRIESGADO,AHORRO,,AVANZADO,1 mes,independiente,446278,276450,SI,34
Oxlbggxz,Ndxuwimzn,386587,oxlbggxz.ndxuwimzn@outlook.com,386587,50,Mecánico,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,BONOS,NINGUNO,5 meses,independiente,655273,434119,NO,65
Cdslckyv,Zsbkhgs,465231,cdslckyv.zsbkhgs@yahoo.com,465231,49,Bombero,VACACIONES,CONSERVADOR,INVERSION,OTROS,NINGUNO,10 años,ambos,632065,493966,NO,71
Gmlu,Ygwns,214190,gmlu.ygwns@hotmail.com,214190,24,Agente de bolsa,JUBILACION,CONSERVADOR,INVERSION,BONOS,BASICO,10 años,ambos,688285,460906,NO,52
Lxicdtc,Swzrt,404727,lxicdtc.swzrt@hotmail.com,404727,36,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,ETFS,AVANZADO,5 meses,ambos,436150,335154,NO,64
Lahaviwk,Uexonnso,869556,lahaviwk.uexonnso@hotmail.com,869556,24,Modelos de moda,VACACIONES,CONSERVADOR,INVERSION,OTROS,NINGUNO,1 año,ambos,622710,478805,NO,8
Jpqzjbyw,Aitzicvlmc,119471,jpqzjbyw.aitzicvlmc@yahoo.com,119471,34,Chapistas y caldereros,IMPREVISTOS,CONSERVADOR,INVERSION,BONOS,AVANZADO,1 mes,dependiente,499041,284211,SI,83
Hhsko,Fewmuk,124739,hhsko.fewmuk@gmail.com,124739,43,Arquitecto,VIVIENDA,CONSERVADOR,INVERSION,OTROS,AVANZADO,1 año,dependiente,710947,705309,NO,23
Fmsv,Mbmqagvb,715320,fmsv.mbmqagvb@hotmail.com,715320,28,Agente de bolsa,OTROS,ARRIESGADO,AHORRO,,INTERMEDIO,1 año,dependiente,730768,423729,NO,10
Plrn,Xyhbtbnec,861516,plrn.xyhbtbnec@yahoo.com,861516,19,Compositor,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,AVANZADO,1 mes,dependiente,321289,236074,NO,71
Fvrgegji,Oaljo,808856,fvrgegji.oaljo@yahoo.com,808856,37,Agente inmobiliario,IMPREVISTOS,MODERADO,AHORRO,,BASICO,1 año,ambos,472451,447576,NO,13
Zevmn,Jqwnbco,481134,zevmn.jqwnbco@outlook.com,481134,23,Actor,IMPREVISTOS,ARRIESGADO,AHORRO,,NINGUNO,5 meses,independiente,813410,745727,SI,15
Pxiu,Kygphb,542535,pxiu.kygphb@hotmail.com,542535,32,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,ACCIONES,BASICO,5 meses,independiente,797740,747777,SI,14
Vtehnanh,Dxvwalju,372800,vtehnanh.dxvwalju@yahoo.com,372800,40,Operador,EDUCACION,MODERADO,INVERSION,CDF,AVANZADO,10 años,independiente,591863,581301,SI,16
Skjkhe,Kpbnaiw,474193,skjkhe.kpbnaiw@yahoo.com,474193,25,Médico,VACACIONES,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,ambos,706972,560396,SI,65
Wkccro,Dmixwpdsd,536371,wkccro.dmixwpdsd@outlook.com,536371,24,Músico,IMPREVISTOS,ARRIESGADO,AHORRO,,NINGUNO,1 mes,independiente,351054,267841,SI,78
Xruhssb,Ivmbu,803817,xruhssb.ivmbu@yahoo.com,803817,30,Psicólogos,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ETFS,BASICO,1 año,independiente,430071,342019,SI,84
Uwgdxwe,Uvebrllf,915937,uwgdxwe.uvebrllf@hotmail.com,915937,50,Operador,VIVIENDA,MODERADO,INVERSION,ETFS,BASICO,5 meses,ambos,582815,320461,NO,100
Jhggdh,Ajbcyc,422177,jhggdh.ajbcyc@gmail.com,422177,38,Químico,JUBILACION,ARRIESGADO,AHORRO,,AVANZADO,5 meses,dependiente,373514,238487,SI,55
Opcq,Vebnoyafi,309023,opcq.vebnoyafi@yahoo.com,309023,58,Piloto,IMPREVISTOS,MODERADO,AHORRO,,AVANZADO,1 año,independiente,677291,576777,NO,5
Typpnsup,Wddchub,562851,typpnsup.wddchub@gmail.com,562851,29,Ingeniero mecánico,OTROS,MODERADO,INVERSION,CDEARS,NINGUNO,5 meses,dependiente,839700,654836,NO,30
Ucefpg,Jmakouhlql,890970,ucefpg.jmakouhlql@gmail.com,890970,53,Personal doméstico,VIVIENDA,ARRIESGADO,INVERSION,OTROS,AVANZADO,1 mes,ambos,826847,572699,SI,4
Xqyomc,Hqkwji,594803,xqyomc.hqkwji@outlook.com,594803,22,Bombero,IMPREVISTOS,MODERADO,INVERSION,ACCIONES,NINGUNO,1 año,dependiente,525771,345925,SI,38
Mkhol,Knbxv,820415,mkhol.knbxv@yahoo.com,820415,43,,JUBILACION,ARRIESGADO,AHORRO,,BASICO,10 años,independiente,410980,295805,SI,9
Apyhay,Mgmrt,439075,apyhay.mgmrt@yahoo.com,439075,48,,JUBILACION,CONSERVADOR,AHORRO,,BASICO,5 meses,ambos,652001,558189,SI,6
Xzjnc,Nfujgwube,940677,xzjnc.nfujgwube@gmail.com,940677,35,Soldador,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,NINGUNO,5 meses,independiente,381240,353722,NO,88
Raykxee,Pcnoel,496978,raykxee.pcnoel@outlook.com,496978,64,Agente de seguros,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,AVANZADO,1 mes,jubilación,659293,396968,SI,19
Ditn,Vdpyepfpov,691106,ditn.vdpyepfpov@outlook.com,691106,38,,JUBILACION,CONSERVADOR,AHORRO,,BASICO,10 años,dependiente,763532,438906,NO,85
Iryoug,Ylwccdp,872709,iryoug.ylwccdp@hotmail.com,872709,61,Físicos,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ETFS,INTERMEDIO,10 años,dependiente,608666,463418,NO,89
Vxkqoap,Pdhdnivwoo,878109,vxkqoap.pdhdnivwoo@yahoo.com,878109,59,Agentes público,VIVIENDA,MODERADO,AHORRO,,BASICO,1 año,dependiente,320845,255734,SI,45
Ystcxnhd,Esspkxl,815936,ystcxnhd.esspkxl@gmail.com,815936,26,Agentes público,VACACIONES,CONSERVADOR,AHORRO,,BASICO,1 mes,ambos,865662,572865,NO,18
Oekt,Cfkgffncfe,439736,oekt.cfkgffncfe@outlook.com,439736,38,Ingeniero químico,EDUCACION,CONSERVADOR,AHORRO,,INTERMEDIO,1 mes,ambos,501795,272702,SI,90
Pdzkcqn,Zpfaswftor,640013,pdzkcqn.zpfaswftor@yahoo.com,640013,65,,LIBERTAD_FINANCIERA,MODERADO,INVERSION,CDF,INTERMEDIO,5 meses,jubilación,838684,637498,SI,59
Lkve,Flffrtpmsl,615639,lkve.flffrtpmsl@hotmail.com,615639,42,Químico,EDUCACION,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,10 años,independiente,708132,435679,NO,37
Klesb,Jqnmn,615109,klesb.jqnmn@gmail.com,615109,69,Operador de máquina,JUBILACION,CONSERVADOR,INVERSION,CDF,BASICO,10 años,jubilación,376770,306709,SI,15
Wqgfy,Dxdlpolxeg,299763,wqgfy.dxdlpolxeg@outlook.com,299763,41,,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,BASICO,1 mes,ambos,612839,558034,NO,57
Ywuszpsf,Jzobx,545602,ywuszpsf.jzobx@gmail.com,545602,55,Agentes comerciales y corredores,EDUCACION,ARRIESGADO,INVERSION,ACCIONES,BASICO,1 mes,dependiente,749862,699701,NO,4
Mdrth,Vipvjsvy,947881,mdrth.vipvjsvy@gmail.com,947881,24,Personal doméstico,OTROS,CONSERVADOR,AHORRO,,INTERMEDIO,10 años,ambos,738616,452080,SI,26
Bynwkx,Aczwykfek,746259,bynwkx.aczwykfek@hotmail.com,746259,21,Farmacólogos,IMPREVISTOS,MODERADO,AHORRO,,INTERMEDIO,1 mes,independiente,294266,156797,SI,3
Kfomwfz,Ovjmfbie,352412,kfomwfz.ovjmfbie@yahoo.com,352412,61,Conductor,VIVIENDA,MODERADO,AHORRO,,BASICO,5 meses,dependiente,760358,662364,NO,16
Uifxpaxx,Xchbma,277929,uifxpaxx.xchbma@outlook.com,277929,67,Personal doméstico,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,OTROS,INTERMEDIO,1 año,ambos,498350,293188,NO,9
Enupb,Unhxmw,135092,enupb.unhxmw@yahoo.com,135092,43,Profesor,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,10 años,independiente,757857,420391,NO,16
Ugrbelx,Dswgcpbpy,497612,ugrbelx.dswgcpbpy@yahoo.com,497612,68,Ingeniero de telecomunicaciones,EDUCACION,MODERADO,INVERSION,ETFS,INTERMEDIO,10 años,dependiente,311095,195782,NO,6
Binn,Slmyzqzvvg,245791,binn.slmyzqzvvg@hotmail.com,245791,47,Locutores de radio y televisión y afines,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,ETFS,INTERMEDIO,1 mes,independiente,819285,664541,NO,54
Cquuap,Vnxksssn,238941,cquuap.vnxksssn@gmail.com,238941,66,Ingeniero civil,OTROS,MODERADO,AHORRO,,INTERMEDIO,1 mes,independiente,415260,344451,SI,6
Ezrcn,Nmaqt,395868,ezrcn.nmaqt@gmail.com,395868,60,Policía,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,BASICO,1 año,independiente,718259,568166,SI,75
Wzddcsoa,Mihxya,918471,wzddcsoa.mihxya@outlook.com,918471,29,Agentes público,OTROS,MODERADO,AHORRO,,INTERMEDIO,1 mes,dependiente,414304,400427,NO,83
Pdmm,Rywnxnjkz,245785,pdmm.rywnxnjkz@hotmail.com,245785,25,Piloto,VIVIENDA,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,independiente,404310,306004,NO,15
Emwit,Ptqinkfbfg,905300,emwit.ptqinkfbfg@outlook.com,905300,32,Agrónomo,JUBILACION,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,1 mes,dependiente,383201,356427,SI,10
Emqas,Ownecfcgbe,988740,emqas.ownecfcgbe@gmail.com,988740,24,Operadores de equipos de radiodifusión,JUBILACION,ARRIESGADO,INVERSION,CDEARS,AVANZADO,1 mes,dependiente,775335,428900,NO,86
Awsql,Kczwts,995833,awsql.kczwts@hotmail.com,995833,24,Matemático,EDUCACION,ARRIESGADO,AHORRO,,INTERMEDIO,1 año,ambos,454001,285531,SI,51
Cpbyw,Mszjxxw,395282,cpbyw.mszjxxw@hotmail.com,395282,52,Filósofos,OTROS,CONSERVADOR,INVERSION,CDF,BASICO,10 años,ambos,573242,300978,SI,34
Vrwcw,Bfhmfcys,619651,vrwcw.bfhmfcys@hotmail.com,619651,41,,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,INTERMEDIO,1 mes,independiente,687263,448328,SI,29
Bdoz,Hporhfcdof,875070,bdoz.hporhfcdof@gmail.com,875070,66,Asistente veterinario,VACACIONES,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,1 año,dependiente,739178,670212,NO,29
Rfmormd,Rwkklmtnj,201707,rfmormd.rwkklmtnj@yahoo.com,201707,66,,VACACIONES,MODERADO,INVERSION,CDF,INTERMEDIO,5 meses,jubilación,522028,395491,SI,2
Iatjzwx,Kvose,717314,iatjzwx.kvose@yahoo.com,717314,49,Directores general,IMPREVISTOS,MODERADO,INVERSION,CDF,NINGUNO,1 mes,ambos,493601,321069,SI,44
Cllgnylf,Yloci,246297,cllgnylf.yloci@outlook.com,246297,41,Operador de máquina,EDUCACION,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,5 meses,ambos,804846,508245,NO,85
Tjoq,Fgkmjgnbh,156379,tjoq.fgkmjgnbh@outlook.com,156379,23,Cartógrafos y agrimensores,IMPREVISTOS,MODERADO,INVERSION,ETFS,NINGUNO,5 meses,independiente,309935,306797,SI,13
Qazkemvq,Pvbaqrhsmv,173500,qazkemvq.pvbaqrhsmv@hotmail.com,173500,47,Asistente veterinario,JUBILACION,CONSERVADOR,AHORRO,,AVANZADO,1 mes,ambos,819805,764734,SI,14
Nyai,Wwajnlrbbz,467218,nyai.wwajnlrbbz@hotmail.com,467218,23,Mozos y taberneros,VACACIONES,ARRIESGADO,INVERSION,CDEARS,INTERMEDIO,1 mes,dependiente,714448,641390,NO,65
Agfaoeee,Pchjvyd,513799,agfaoeee.pchjvyd@hotmail.com,513799,37,Ingeniero electricista,VACACIONES,ARRIESGADO,INVERSION,ETFS,BASICO,1 mes,dependiente,575807,557249,NO,81
Bnvfwxj,Misjm,439975,bnvfwxj.misjm@hotmail.com,439975,50,Agente de viaje,EDUCACION,ARRIESGADO,INVERSION,OTROS,AVANZADO,10 años,ambos,315608,281100,SI,29
Kvatax,Mgfzuaii,616046,kvatax.mgfzuaii@outlook.com,616046,30,Músico,EDUCACION,MODERADO,AHORRO,,BASICO,1 año,independiente,435334,310226,SI,16
Tdxg,Przncqcydn,490535,tdxg.przncqcydn@yahoo.com,490535,63,,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,CDF,INTERMEDIO,10 años,independiente,851469,812753,NO,22
Ixtb,Hmbfmzwcyt,283842,ixtb.hmbfmzwcyt@hotmail.com,283842,26,Farmacéutico,VIVIENDA,MODERADO,INVERSION,CDF,NINGUNO,1 mes,independiente,336232,265613,SI,31
Jaykq,Qoqhpvx,105565,jaykq.qoqhpvx@hotmail.com,105565,36,Gerentes de empresas,LIBERTAD_FINANCIERA,MODERADO,INVERSION,CDEARS,BASICO,5 meses,independiente,405352,319715,NO,40
Eexwrgup,Baphmwyp,982684,eexwrgup.baphmwyp@hotmail.com,982684,57,Actor,IMPREVISTOS,ARRIESGADO,INVERSION,ETFS,NINGUNO,1 año,dependiente,687457,409350,NO,4
Sjpwndv,Opcfakbihe,874029,sjpwndv.opcfakbihe@hotmail.com,874029,62,Programador informático,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,INTERMEDIO,5 meses,dependiente,525115,336545,NO,9
Jigxuj,Cpusfii,138696,jigxuj.cpusfii@gmail.com,138696,63,Agente de bolsa,VIVIENDA,MODERADO,AHORRO,,BASICO,1 mes,independiente,629272,543540,NO,45
Mlxic,Yjydr,855546,mlxic.yjydr@hotmail.com,855546,34,Ingenieros de minas,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,INTERMEDIO,5 meses,dependiente,357678,183246,SI,88
Xsfml,Wdyvfzjhn,750350,xsfml.wdyvfzjhn@gmail.com,750350,54,Farmacólogos,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,BASICO,5 meses,dependiente,432712,281652,NO,37
Lvagcyh,Dudktemhj,702310,lvagcyh.dudktemhj@yahoo.com,702310,44,Odontólogo,EDUCACION,ARRIESGADO,INVERSION,ACCIONES,BASICO,10 años,ambos,360061,249825,SI,87
Sgssbzju,Aupaftzukm,703660,sgssbzju.aupaftzukm@outlook.com,703660,69,Agrónomo,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,NINGUNO,5 meses,independiente,531867,523480,SI,44
Apsc,Rtswimqc,813621,apsc.rtswimqc@outlook.com,813621,27,Farmacéutico,VACACIONES,CONSERVADOR,INVERSION,OTROS,BASICO,10 años,independiente,874521,719331,SI,52
Uaczm,Rgzthuqif,986212,uaczm.rgzthuqif@yahoo.com,986212,52,Ingenieros de minas,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDEARS,BASICO,10 años,independiente,794873,705962,SI,84
Pqgsmic,Bwkfp,780533,pqgsmic.bwkfp@hotmail.com,780533,65,Veterinario,VACACIONES,MODERADO,AHORRO,,AVANZADO,5 meses,dependiente,443964,254008,NO,14
Akytpz,Lmkufrrzmd,933506,akytpz.lmkufrrzmd@gmail.com,933506,59,,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,ambos,343881,316449,NO,17
Lqbdbm,Yotrv,480421,lqbdbm.yotrv@hotmail.com,480421,57,Diseñador de interiores,IMPREVISTOS,CONSERVADOR,AHORRO,,BASICO,5 meses,independiente,417661,221365,NO,18
Ohdymsp,Gumjcx,104374,ohdymsp.gumjcx@gmail.com,104374,45,,VACACIONES,ARRIESGADO,INVERSION,ACCIONES,BASICO,1 año,dependiente,662504,340821,NO,85
Ahkdasq,Hzjnfdlsj,705027,ahkdasq.hzjnfdlsj@gmail.com,705027,49,Odontólogo,EDUCACION,MODERADO,INVERSION,ACCIONES,NINGUNO,1 mes,independiente,402251,314367,NO,11
Jhpbzh,Pofhxi,911315,jhpbzh.pofhxi@gmail.com,911315,42,Químico,IMPREVISTOS,CONSERVADOR,AHORRO,,NINGUNO,1 mes,jubilación,549481,308170,SI,2
Kkgxate,Tfvydibn,551741,kkgxate.tfvydibn@hotmail.com,551741,46,Conductor,OTROS,ARRIESGADO,INVERSION,OTROS,BASICO,1 mes,dependiente,397724,249203,NO,29
Nxoi,Yoqmjwzbzw,679173,nxoi.yoqmjwzbzw@yahoo.com,679173,53,Secretaria,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,OTROS,INTERMEDIO,5 meses,independiente,698144,582230,NO,80
Rbbycgy,Igeawmr,408290,rbbycgy.igeawmr@gmail.com,408290,22,Arquitecto,EDUCACION,ARRIESGADO,AHORRO,,AVANZADO,5 meses,independiente,878547,869223,SI,98
Yyilu,Yyvrnpmsy,613766,yyilu.yyvrnpmsy@yahoo.com,613766,43,,VIVIENDA,ARRIESGADO,INVERSION,BONOS,INTERMEDIO,5 meses,ambos,513292,314271,SI,87
Cdpg,Guwaruqc,393052,cdpg.guwaruqc@gmail.com,393052,45,Soldador,VACACIONES,ARRIESGADO,INVERSION,CDF,BASICO,10 años,independiente,702185,624765,SI,21
Szqoxj,Urzdrinp,807178,szqoxj.urzdrinp@gmail.com,807178,69,Secretaria,EDUCACION,ARRIESGADO,AHORRO,,BASICO,10 años,ambos,541870,371588,NO,91
Bxvnxxn,Igomjmnizb,115440,bxvnxxn.igomjmnizb@yahoo.com,115440,26,,EDUCACION,ARRIESGADO,INVERSION,ETFS,BASICO,1 mes,dependiente,385305,288549,SI,15
Splu,Stzzaglofe,456184,splu.stzzaglofe@outlook.com,456184,35,Cocinero,OTROS,MODERADO,AHORRO,,AVANZADO,10 años,dependiente,541578,273095,SI,71
Rcfpihsu,Yeqwd,623392,rcfpihsu.yeqwd@gmail.com,623392,68,Técnicos en seguridad aeronáutica,IMPREVISTOS,CONSERVADOR,AHORRO,,BASICO,5 meses,jubilación,367026,358056,NO,28
Mbaghb,Eiejpc,844802,mbaghb.eiejpc@yahoo.com,844802,39,Psicólogos,IMPREVISTOS,MODERADO,AHORRO,,INTERMEDIO,10 años,dependiente,863904,592421,SI,17
Ahpica,Lohxajp,697775,ahpica.lohxajp@yahoo.com,697775,32,Diseñador de interiores,JUBILACION,MODERADO,AHORRO,,BASICO,1 mes,independiente,385805,280552,SI,97
Henvyay,Eosfvuhuop,107905,henvyay.eosfvuhuop@hotmail.com,107905,69,Policía,EDUCACION,ARRIESGADO,AHORRO,,NINGUNO,10 años,dependiente,579594,314043,NO,42
Bplzueka,Crtfuy,841197,bplzueka.crtfuy@outlook.com,841197,61,Ingeniero químico,VACACIONES,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,jubilación,754451,398425,NO,41
Qspwudtc,Gznqowxvq,819025,qspwudtc.gznqowxvq@hotmail.com,819025,56,Diseñador de interiores,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,BASICO,5 meses,independiente,369974,306741,SI,98
Lzqeolm,Hipkakh,892880,lzqeolm.hipkakh@hotmail.com,892880,40,Escritor,VACACIONES,MODERADO,AHORRO,,AVANZADO,1 mes,independiente,872670,446724,SI,58
